F1,F2,F3,F4,F5,F6
0001,2005-03-25,Fri,0043023,000043023,185
0002,2005-03-26,Sat,0046115,000089138,183
0003,2005-03-27,Sun,0056597,000145735,178
0004,2005-03-28,Mon,0061763,000207498,173
0005,2005-03-29,Tue,0075091,000282589,160
0006,2005-03-30,Wed,0074946,000357535,162
0007,2005-03-31,Thu,0068554,000426089,168
0008,2005-04-01,Fri,0060361,000486450,176
0009,2005-04-02,Sat,0074900,000561350,163
0010,2005-04-03,Sun,0061255,000622605,174
0011,2005-04-04,Mon,0077401,000700006,158
0012,2005-04-05,Tue,0063223,000763229,172
0013,2005-04-06,Wed,0055393,000818622,179
0014,2005-04-07,Thu,0043314,000861936,184
0015,2005-04-08,Fri,0050933,000912869,182
0016,2005-04-09,Sat,0078538,000991407,154
0017,2005-04-10,Sun,0060225,001051632,177
0018,2005-04-11,Mon,0052972,001104604,181
0019,2005-04-12,Tue,0053668,001158272,180
0020,2005-04-13,Wed,0069527,001227799,167
0021,2005-04-14,Thu,0072682,001300481,165
0022,2005-04-15,Fri,0074714,001375195,164
0023,2005-04-16,Sat,0091914,001467109,131
0024,2005-04-17,Sun,0084401,001551510,145
0025,2005-04-18,Mon,0085657,001637167,141
0026,2005-04-19,Tue,0085056,001722223,144
0027,2005-04-20,Wed,0067827,001790050,170
0028,2005-04-21,Thu,0078378,001868428,157
0029,2005-04-22,Fri,0083421,001951849,148
0030,2005-04-23,Sat,0112332,002064181,084
0031,2005-04-24,Sun,0107468,002171649,092
0032,2005-04-25,Mon,0088614,002260263,139
0033,2005-04-26,Tue,0076466,002336729,159
0034,2005-04-27,Wed,0089538,002426267,137
0035,2005-04-28,Thu,0079661,002505928,152
0036,2005-04-29,Fri,0102186,002608114,108
0037,2005-04-30,Sat,0111740,002719854,086
0038,2005-05-01,Sun,0078524,002798378,155
0039,2005-05-02,Mon,0113801,002912179,082
0040,2005-05-03,Tue,0146203,003058382,037
0041,2005-05-04,Wed,0149214,003207596,034
