F1,F2,F3,F4,F5,F6
a_news-20231208-02.html,54072,54072,0,0,0
a_news-20231214-03.html,74353,128425,0,0,0
a_news-20231222-01.html,21076,149501,0,0,0
a_news-20240105-01.html,22459,171960,0,0,0
a_news-20240112-05.html,5776,177736,0,0,0
a_news-20240119-03.html,82558,260294,0,0,0
a_news-20240126-02.html,159490,419784,0,0,0
a_news-20240202-03.html,36837,456621,0,0,0
a_news-20240209-03.html,101320,557941,0,0,0
a_news-20240216-03.html,47837,605778,0,0,0
a_news-20240301-03.html,40739,646517,0,0,0
a_news-20240307-02.html,101254,747771,0,0,0
a_news-20240315-04.html,16405,764176,0,0,0
a_news-20240322-01.html,73431,837607,0,0,0
a_news-20240329-05.html,238057,1075664,0,0,0
a_news-20240405-03.html,151937,1227601,0,0,0
a_news-20240412-07.html,74587,1302188,0,0,0
a_news-20240419-03.html,255752,1557940,0,0,0
a_news-20240426-07.html,106189,1664129,0,0,0
a_news-20240510-01.html,207620,1871749,0,0,0
a_news-20240517-01.html,96361,1968110,0,0,0
a_news-20240524-01.html,220671,2188781,0,0,0
a_news-20240531-02.html,38282,2227063,0,0,0
a_news-20240607-01.html,401022,2628085,0,0,0
a_news-20240614-03.html,75622,2703707,0,0,0
a_news-20240621-02.html,97242,2800949,0,0,0
a_news-20240628-03.html,175465,2976414,0,0,0
a_news-20240705-01.html,206533,3182947,0,0,0
a_news-20240712-03.html,41852,3224799,0,0,0
a_news-20240719-10.html,251776,3476575,0,0,0
a_news-20240726-02.html,85060,3561635,0,0,0
a_news-20240802-02.html,303082,3864717,0,0,0
a_news-20240809-01.html,255912,4120629,0,0,0
a_news-20240816-01.html,127405,4248034,0,0,0
a_news-20240823-03.html,253562,4501596,0,0,0
a_news-20240830-06.html,110329,4611925,0,0,0
a_news-20240906-04.html,155826,4767751,0,0,0
a_news-20240913-03.html,224266,4992017,0,0,0
a_news-20240920-04.html,148170,5140187,0,0,0
a_news-20240927-02.html,169734,5309921,0,0,0
a_news-20241004-07.html,741357,6051278,0,0,0
a_news-20241011-05.html,1087814,7139092,0,0,0
a_news-20241018-01.html,61021,7200113,0,0,0
a_news-20241025-04.html,71597,7271710,0,0,0
a_news-20241101-01.html,12323,7284033,0,0,0
a_news-20241108-03.html,18171,7302204,0,0,0
a_news-20241115-03.html,15407,7317611,0,0,0
a_news-20241122-03.html,45217,7362828,0,0,0
a_news-20241129-04.html,10195,7373023,0,0,0
a_news-20241206-1.html,32111,7405134,0,0,0
a_news-20241213-01.html,19484,7424618,0,0,0
a_news-20241220-05.html,18943,7443561,0,0,0
a_news-20241227-06.html,19111,7462672,0,0,0
a_news-20250110-06.html,52094,7514766,0,0,0
a_news-20250117-02.html,49633,7564399,0,0,0
a_news-20250124-02.html,54381,7618780,0,0,0
a_news-20250131-01.html,46969,7665749,0,0,0
a_news-20250207-03-2.html,76127,7741876,0,0,0
a_news-20250214-05.html,60986,7802862,0,0,0
a_news-20250221-05.html,73312,7876174,0,0,0
a_news-20250228-02.html,83924,7960098,0,0,0
a_news-20250307-03.html,109162,8069260,0,0,0
a_news-20250314-01-02.html,137338,8206598,0,0,0
a_news-20250321-04.html,147312,8353910,0,0,0
a_news-20250328-01.html,155062,8508972,0,0,0
a_news-20250404-02.html,192460,8701432,0,0,0
a_news-20250411-03.html,364223,9065655,0,0,0
b_news-20250421-02.html,912562,9978217,524937,524937,9453280
b_news-20250428-01.html,431243,10409460,619126,1144063,9265397
b_news-20250505-02.html,498672,10908132,630640,1774703,9133429
b_news-20250512-02.html,468319,11376451,644806,2419509,8956942
b_news-20250526-01.html,516648,12404515,828680,3248189,9156326
b_news-20250602-01.html,514711,12919226,940178,4188367,8730859
b_news-20250609-01.html,521408,13440634,899447,5087814,8352820
b_news-20250616-01.html,460057,13900691,859612,5947426,7953265
b_news-20250623-01.html,787301,14687992,919801,6867227,7820765
b_news-20250630-03.html,409523,15097515,905615,7772842,7324673
b_news-20250721-01.html,473503,16453322,810365,8583207,7870115
b_news-20250728-03.html,603339,17056661,872210,9455417,7601244
b_news-20250804-03.html,487836,17544497,780823,10236240,7308257
b_news-20250811-01.html,551206,18095703,824941,11061181,7034522
b_news-20250818-02.html,567260,18662963,1125007,12186188,6476775
b_news-20250825-02.html,561463,19224426,989585,13175773,6048653
b_news-20250901-04.html,726472,19950898,1054631,14230404,5720494
b_news-20250908-01.html,755163,20706061,1106490,15336894,5369167
b_news-20250915-01.html,723851,21429912,1331647,16668541,4761371
b_news-20250922-05.html,434910,21864822,1517090,18185631,3679191
b_news-20250929-02.html,154565,22019387,1546234,19731865,2287522
b_news-20251006-01.html,47667,22067054,1540884,21272749,794305
