F1,F2,F3,F4,F5,F6,F7
a,news-20250421-02.html,01,0413-0413,000146426,000639875,-00493449
a,news-20250421-02.html,01,0413-0413,000639875,007695182,-07055307
a,news-20250421-02.html,01,0413-0413,007695182,009978217,-02283035
a,news-20250421-02.html,01,0413-0413,009978217,000022087,009956130
a,news-20250421-02.html,02,0414-0414,000070488,000105408,-00034920
a,news-20250421-02.html,02,0414-0414,000105408,000000000,000105408
a,news-20250421-02.html,03,0415-0415,000029215,000063719,-00034504
a,news-20250421-02.html,03,0415-0415,000063719,000000000,000063719
a,news-20250421-02.html,04,0416-0416,000073869,000091578,-00017709
a,news-20250421-02.html,04,0416-0416,000091578,000015166,000076412
a,news-20250421-02.html,05,0417-0417,000078413,000082692,-00004279
a,news-20250421-02.html,05,0417-0417,000082692,000015040,000067652
a,news-20250421-02.html,06,0418-0418,000037180,000093908,-00056728
a,news-20250421-02.html,06,0418-0418,000093908,000015187,000078721
a,news-20250421-02.html,07,0419-0419,000063000,000108773,-00045773
a,news-20250421-02.html,07,0419-0419,000108773,000014692,000094081
a,news-20250421-02.html,09,0421-0421,000032648,000023289,000009359
a,news-20250421-02.html,10,0422-0422,000004428,000004428,000000000
a,news-20250421-02.html,11,0423-0423,000222750,000222750,000000000
a,news-20250421-02.html,12,0424-0424,000007740,000007740,000000000
a,news-20250421-02.html,13,0425-0425,000454949,000454949,000000000
a,news-20250421-02.html,14,0426-0426,001100685,001100685,000000000
a,news-20250421-02.html,15,0427-0427,009978217,009692401,000285816
a,news-20250428-01.html,01,0420-0420,000095524,001379655,-01284131
a,news-20250428-01.html,01,0420-0420,001379655,007814670,-06435015
a,news-20250428-01.html,01,0420-0420,007814670,010409460,-02594790
a,news-20250428-01.html,01,0420-0420,010409460,000016142,010393318
a,news-20250428-01.html,02,0421-0421,000099638,000267445,-00167807
a,news-20250428-01.html,02,0421-0421,000267445,000000000,000267445
a,news-20250428-01.html,03,0422-0422,000078242,000103729,-00025487
a,news-20250428-01.html,03,0422-0422,000103729,000000000,000103729
a,news-20250428-01.html,04,0423-0423,000099140,000113435,-00014295
a,news-20250428-01.html,04,0423-0423,000113435,000017795,000095640
a,news-20250428-01.html,05,0424-0424,000108888,000112214,-00003326
a,news-20250428-01.html,05,0424-0424,000112214,000017376,000094838
a,news-20250428-01.html,06,0425-0425,000040191,000110759,-00070568
a,news-20250428-01.html,06,0425-0425,000110759,000017591,000093168
a,news-20250428-01.html,07,0426-0426,000077104,000122102,-00044998
a,news-20250428-01.html,07,0426-0426,000122102,000017299,000104803
a,news-20250428-01.html,09,0428-0428,000042777,000023289,000019488
a,news-20250428-01.html,10,0429-0429,000004428,000004428,000000000
a,news-20250428-01.html,11,0430-0430,000222750,000222750,000000000
