F1,F2,F3,F4,F5,F6,F7
a,news-20250421-02.html,01,0413-0413,000146426,000022087,000124339
a,news-20250421-02.html,02,0414-0414,000070488,000016828,000053660
a,news-20250421-02.html,03,0415-0415,000063719,000015938,000047781
a,news-20250421-02.html,04,0416-0416,000073869,000015166,000058703
a,news-20250421-02.html,05,0417-0417,000082692,000015040,000067652
a,news-20250421-02.html,06,0418-0418,000093908,000015187,000078721
a,news-20250421-02.html,07,0419-0419,000108773,000014692,000094081
a,news-20250428-01.html,01,0420-0420,000095524,000016142,000079382
a,news-20250428-01.html,02,0421-0421,000099638,000017352,000082286
a,news-20250428-01.html,03,0422-0422,000103729,000017099,000086630
a,news-20250428-01.html,04,0423-0423,000099140,000017795,000081345
a,news-20250428-01.html,05,0424-0424,000108888,000017376,000091512
a,news-20250428-01.html,06,0425-0425,000110759,000017591,000093168
a,news-20250428-01.html,07,0426-0426,000122102,000017299,000104803
a,news-20250505-02.html,01,0427-0427,000102015,000016985,000085030
a,news-20250505-02.html,02,0428-0428,000121282,000017465,000103817
a,news-20250505-02.html,03,0429-0429,000097559,000017813,000079746
a,news-20250505-02.html,04,0430-0430,000101397,000017621,000083776
a,news-20250505-02.html,05,0501-0501,000105945,000017548,000088397
a,news-20250505-02.html,06,0502-0502,000104805,000017741,000087064
a,news-20250505-02.html,07,0503-0503,000120696,000017886,000102810
a,news-20250512-02.html,01,0504-0504,000136805,000016289,000120516
a,news-20250512-02.html,02,0505-0505,000126371,000016804,000109567
a,news-20250512-02.html,03,0506-0506,000076517,000016935,000059582
a,news-20250512-02.html,04,0507-0507,000091688,000016932,000074756
a,news-20250512-02.html,05,0508-0508,000105449,000018578,000086871
a,news-20250512-02.html,06,0509-0509,000105782,000019813,000085969
a,news-20250512-02.html,07,0510-0510,000128918,000021373,000107545
a,news-20250519-01.html,01,0511-0511,000121667,000018268,000103399
a,news-20250519-01.html,02,0512-0512,000117658,000017856,000099802
a,news-20250519-01.html,03,0513-0513,000123640,000018087,000105553
a,news-20250519-01.html,04,0514-0514,000129527,000017668,000111859
a,news-20250519-01.html,05,0515-0515,000129456,000017762,000111694
a,news-20250519-01.html,06,0516-0516,000132817,000017700,000115117
a,news-20250519-01.html,07,0517-0517,000123974,000016464,000107510
a,news-20250526-01.html,01,0518-0518,000121927,000016404,000105523
a,news-20250526-01.html,02,0519-0519,000133661,000017441,000116220
a,news-20250526-01.html,03,0520-0520,000129506,000017856,000111650
a,news-20250526-01.html,04,0521-0521,000133581,000019012,000114569
a,news-20250526-01.html,05,0522-0522,000137767,000018026,000119741
a,news-20250526-01.html,06,0523-0523,000163509,000018264,000145245
a,news-20250526-01.html,07,0524-0524,000132105,000016373,000115732
a,news-20250602-01.html,01,0525-0525,000143752,000016746,000127006
a,news-20250602-01.html,02,0526-0526,000149197,000018174,000131023
a,news-20250602-01.html,03,0527-0527,000139790,000018875,000120915
a,news-20250602-01.html,04,0528-0528,000149383,000018852,000130531
a,news-20250602-01.html,05,0529-0529,000145291,000018578,000126713
a,news-20250602-01.html,06,0530-0530,000152666,000018599,000134067
a,news-20250602-01.html,07,0531-0531,000187762,000017839,000169923
a,news-20250609-01.html,01,0601-0601,000152473,000018970,000133503
a,news-20250609-01.html,02,0602-0602,000150131,000017780,000132351
a,news-20250609-01.html,03,0603-0603,000108130,000017423,000090707
a,news-20250609-01.html,04,0604-0604,000137675,000017965,000119710
a,news-20250609-01.html,05,0605-0605,000139576,000018046,000121530
a,news-20250609-01.html,06,0606-0606,000165243,000019094,000146149
a,news-20250609-01.html,07,0607-0607,000173305,000017808,000155497
a,news-20250616-01.html,01,0608-0608,000151565,000019040,000132525
a,news-20250616-01.html,02,0609-0609,000137452,000017886,000119566
a,news-20250616-01.html,03,0610-0610,000110260,000018217,000092043
a,news-20250616-01.html,04,0611-0611,000126489,000018144,000108345
a,news-20250616-01.html,05,0612-0612,000141488,000018683,000122805
a,news-20250616-01.html,06,0613-0613,000167424,000018567,000148857
a,news-20250616-01.html,07,0614-0614,000153590,000018119,000135471
a,news-20250623-01.html,01,0615-0615,000155099,000018338,000136761
a,news-20250623-01.html,02,0616-0616,000142427,000018022,000124405
a,news-20250623-01.html,03,0617-0617,000132133,000017213,000114920
a,news-20250623-01.html,04,0618-0618,000137356,000018277,000119079
a,news-20250623-01.html,05,0619-0619,000137110,000017998,000119112
a,news-20250623-01.html,06,0620-0620,000163355,000018801,000144554
a,news-20250623-01.html,07,0621-0621,000178484,000017514,000160970
a,news-20250630-03.html,01,0622-0622,000150279,000016926,000133353
a,news-20250630-03.html,02,0623-0623,000127557,000017463,000110094
a,news-20250630-03.html,03,0624-0624,000125851,000017481,000108370
a,news-20250630-03.html,04,0625-0625,000135352,000017751,000117601
a,news-20250630-03.html,05,0626-0626,000132737,000019235,000113502
a,news-20250630-03.html,06,0627-0627,000156426,000018721,000137705
a,news-20250630-03.html,07,0628-0628,000202819,000017829,000184990
a,news-20250707-01.html,01,0629-0629,000151042,000017104,000133938
a,news-20250707-01.html,02,0630-0630,000123342,000017459,000105883
a,news-20250707-01.html,03,0701-0701,000108316,000017687,000090629
a,news-20250707-01.html,04,0702-0702,000113877,000017857,000096020
a,news-20250707-01.html,05,0703-0703,000124747,000019491,000105256
a,news-20250707-01.html,06,0704-0704,000142339,000018567,000123772
a,news-20250707-01.html,07,0705-0705,000150498,000016494,000134004
a,news-20250714-03.html,01,0706-0706,000127652,000016108,000111544
a,news-20250714-03.html,02,0707-0707,000110680,000017221,000093459
a,news-20250714-03.html,03,0708-0708,000112241,000017236,000095005
a,news-20250714-03.html,04,0709-0709,000116208,000017430,000098778
a,news-20250714-03.html,05,0710-0710,000118706,000017931,000100775
a,news-20250714-03.html,06,0711-0711,000143370,000018024,000125346
a,news-20250714-03.html,07,0712-0712,000189672,000018163,000171509
a,news-20250721-01.html,01,0713-0713,000179512,000018710,000160802
a,news-20250721-01.html,02,0714-0714,000113067,000017337,000095730
a,news-20250721-01.html,03,0715-0715,000119461,000017317,000102144
a,news-20250721-01.html,04,0716-0716,000125357,000017685,000107672
a,news-20250721-01.html,05,0717-0717,000111303,000017490,000093813
a,news-20250721-01.html,06,0718-0718,000130031,000018004,000112027
a,news-20250721-01.html,07,0719-0719,000155958,000017781,000138177
a,news-20250728-03.html,01,0720-0720,000171971,000016821,000155150
a,news-20250728-03.html,02,0721-0721,000148627,000017291,000131336
a,news-20250728-03.html,03,0722-0722,000118531,000017397,000101134
a,news-20250728-03.html,04,0723-0723,000162001,000018819,000143182
a,news-20250728-03.html,05,0724-0724,000121933,000019920,000102013
a,news-20250728-03.html,06,0725-0725,000131194,000018602,000112592
